area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,36,Paved,5700,5.0,3.0,650.0
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,23,Paved,1160,2.0,2.0,44.0
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,13,Gravel,3000,8.0,0.0,140.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,154,Gravel,1100,2.0,1.0,62.0
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,58,Paved,1140,2.0,3.0,43.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,89,No Access,1220,2.0,1.0,57.0
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,176,Paved,1350,7.0,0.0,85.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,48,Paved,1005,2.0,1.0,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,,39,Gravel,500,3.0,2.0,100.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,177,Gravel,1358,2.0,1.0,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,116,No Access,1569,3.0,1.0,101.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,116,Paved,1240,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,51,No Access,2089,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,41,Gravel,1206,2.0,1.0,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,192,Gravel,1150,2.0,3.0,40.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,72,Paved,2511,3.0,3.0,205.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,148,No Access,460,1.0,0.0,22.0
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,24,Gravel,4400,6.0,3.0,250.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,100,Paved,1660,2.0,2.0,105.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,49,Gravel,2957 - 3450,,,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,43,Gravel,1326,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,187,Gravel,1325,2.0,2.0,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,85,Gravel,1499,5.0,2.0,102.0
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,171,Gravel,3000,7.0,2.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,149,Gravel,1665,3.0,2.0,88.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,73,Paved,708,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,62,Paved,1060,2.0,2.0,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,145,Paved,710,6.0,3.0,160.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,125,Paved,1000,2.0,2.0,70.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,,121,Gravel,1000,2.0,1.0,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,70,No Access,1450,2.0,2.0,70.0
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,129,Gravel,1200,4.0,2.0,155.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,6,Paved,1296,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,,103,No Access,1540,3.0,2.0,90.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,8,Gravel,2894,4.0,1.0,245.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,50,No Access,1330,2.0,1.0,48.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,67,No Access,1200,2.0,1.0,65.0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,0,Paved,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,6,Paved,2502,3.0,3.0,138.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,147,Gravel,650,1.0,1.0,17.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,71,Gravel,2400,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,34,No Access,1007,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,178,Gravel,1200,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,,185,Paved,966,2.0,2.0,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,106,Paved,1630,2.0,1.0,98.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,144,Gravel,1640,3.0,2.0,229.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,135,Gravel,782,2.0,2.0,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,38,Gravel,1260,2.0,2.0,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,40,Paved,1800,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,73,Gravel,1413,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,142,Gravel,1116,2.0,1.0,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,79,Paved,1530,2.0,1.0,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,89,No Access,3700,4.0,1.0,225.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,34,Paved,2497,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,72,Gravel,1540,2.0,3.0,64.0
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,177,No Access,1436,3.0,1.0,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,20,Gravel,1100,2.0,2.0,75.0
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,99,No Access,276,3.0,3.0,23.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,166,Paved,1427,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,137,No Access,2061,3.0,1.0,200.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,50,No Access,3067 - 8156,4.0,0.0,477.0
Built-up  Area,Ready To Move,Shampura,4 BHK,,74,No Access,2650,4.0,2.0,150.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,59,Gravel,1282,2.0,2.0,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,63,Gravel,1050,2.0,1.0,34.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,44,Paved,1600,3.0,2.0,65.0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,75,No Access,945,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,113,No Access,1500,2.0,1.0,78.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,60,No Access,950,7.0,0.0,115.0
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,90,No Access,1870,3.0,3.0,110.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,166,Paved,1600,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,169,Gravel,880,1.0,1.0,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,144,Paved,1200,4.0,0.0,210.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,10,Gravel,1535,3.0,2.0,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,116,No Access,950,2.0,1.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,122,No Access,1360,2.0,1.0,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,148,Gravel,1042 - 1105,2.0,0.0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,108,Gravel,1280,3.0,1.0,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,98,Gravel,1260,2.0,2.0,85.05
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,57,Paved,5000,8.0,,250.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,129,Gravel,3050,5.0,1.0,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,104,Gravel,1563.05,3.0,1.0,105.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,17,No Access,1000,2.0,1.0,60.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,85,No Access,1167,2.0,1.0,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,1,Gravel,4000,7.0,2.0,225.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,109,Gravel,1828,3.0,,110.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,164,No Access,890,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,121,Gravel,1612,3.0,3.0,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,,136,Paved,1034,5.0,,185.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,97,Paved,1710,4.0,2.0,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,96,No Access,957,2.0,1.0,58.0
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,177,Gravel,1250,2.0,3.0,44.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,90,Gravel,2795,4.0,,235.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,145,Paved,1125,2.0,2.0,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,0,No Access,1020,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,145,Paved,1200,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,37,Gravel,1735,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,9,Paved,2050,3.0,1.0,145.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,181,Gravel,3750,4.0,0.0,760.0
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,93,Paved,1350,2.0,3.0,48.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,187,Paved,1063,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,81,Paved,1904,3.0,1.0,150.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,20,Paved,4200,4.0,2.0,420.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,84,Gravel,2000,3.0,1.0,175.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,37,Paved,1145 - 1340,2.0,0.0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,108,No Access,1425,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,15,Gravel,1500,2.0,1.0,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,193,No Access,1060,2.0,1.0,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,144,Paved,1470,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,122,No Access,1300,6.0,0.0,99.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,95,No Access,450,1.0,1.0,11.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,196,Gravel,1152,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,147,Paved,1350,2.0,1.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,78,Gravel,1550,3.0,3.0,65.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,39,No Access,1500,3.0,2.0,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,20,No Access,600,3.0,2.0,85.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,178,Gravel,400,1.0,0.0,14.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,141,Paved,705,1.0,2.0,67.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,158,Paved,770,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,174,Gravel,1242,2.0,3.0,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,94,Gravel,1700,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,124,Paved,2144,3.0,2.0,145.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,82,No Access,1704,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,76,Paved,1070,2.0,1.0,52.0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,81,No Access,1846,3.0,2.0,300.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,69,No Access,1340,2.0,2.0,55.7
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,177,Gravel,1025,2.0,1.0,46.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,73,Gravel,1015 - 1540,2.0,0.0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,11,Gravel,1200,2.0,2.0,52.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,190,No Access,2250,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,144,Paved,1550,2.0,3.0,80.0
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,73,Paved,1200,5.0,,325.0
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,36,Gravel,1800,7.0,1.0,250.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,194,Gravel,1200,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,14,No Access,1327,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,116,Gravel,1186,2.0,2.0,58.0
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,71,Gravel,1783,3.0,1.0,115.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,76,Paved,1400,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,158,No Access,980,2.0,1.0,48.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,187,Gravel,1285,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,54,Paved,912,2.0,1.0,70.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,89,Gravel,1225,2.0,2.0,47.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,64,Paved,1075,2.0,1.0,53.0
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,82,Paved,1260,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,39,Paved,1282,2.0,2.0,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,28,Gravel,1909,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,65,Paved,1359,2.0,1.0,87.0
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,153,Gravel,1207,2.0,2.0,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,115,No Access,1736,6.0,0.0,190.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,148,No Access,2850,4.0,1.0,428.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,17,Gravel,1595,3.0,2.0,65.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,102,Paved,1798,3.0,2.0,89.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,76,No Access,1475,3.0,2.0,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,16,Paved,1580,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,77,Paved,1295,2.0,1.0,65.0
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,84,No Access,3600,6.0,0.0,141.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,176,No Access,589,1.0,1.0,27.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,182,No Access,1415,3.0,3.0,78.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,86,Paved,1787,3.0,2.0,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,50,Gravel,1787,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,163,Paved,1475,2.0,3.0,90.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,69,Paved,2000,4.0,1.0,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,88,Paved,984,2.0,1.0,44.28
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,84,Gravel,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,104,Gravel,2405,4.0,2.0,260.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,82,No Access,1080,2.0,2.0,72.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,103,Gravel,1500,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,187,Gravel,1900,3.0,2.0,119.0
Super built-up  Area,19-Aug,Dommasandra,2 BHK,,52,Paved,805,2.0,1.0,22.14
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,76,No Access,1153,2.0,2.0,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,135,No Access,1148,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,34,No Access,1110,2.0,2.0,55.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,84,Paved,1100,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,196,Gravel,1290,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,66,No Access,1500,2.0,1.0,65.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,119,Gravel,1080,2.0,2.0,39.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,131,Paved,1933,3.0,1.0,129.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,84,Gravel,3500,5.0,2.0,150.0
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,86,Paved,1060,2.0,2.0,60.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,18,Paved,645,1.0,1.0,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,98,Gravel,2600,8.0,2.0,180.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,188,Paved,645,1.0,1.0,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,200,Gravel,1644,3.0,3.0,84.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,78,Gravel,1285,2.0,3.0,72.5
Plot  Area,Ready To Move,Electronic City,3 Bedroom,,111,No Access,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,64,Paved,910,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,112,Paved,1577,3.0,1.0,70.0
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,120,Paved,4050,3.0,2.0,280.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,112,Gravel,2420,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,138,No Access,800,1.0,1.0,20.0
